DVD_Bluray_Comb,year,date,rank,previous_rank,name,units_this_week,change,total_unites,spending_this_week,total_spending,weeks
dvd,2009,1-Feb,8,new,Vicky Cristina Barcelona,"140,081",,"140,081","$2,371,571 ","$2,371,571 ",1
dvd,2009,1-Feb,9,3,Pineapple Express,"139,749",-31%,"1,891,876","$2,444,671 ","$32,627,390 ",4
dvd,2009,1-Feb,10,-,Mary Poppins,"128,233",,"128,233","$1,858,096 ","$1,858,096 ",567
dvd,2009,1-Feb,11,7,The Dark Knight,"110,249",-8%,"11,943,627","$1,769,871 ","$207,826,284 ",8
dvd,2009,1-Feb,12,4,Igor,"106,805",-39%,"282,378","$2,135,032 ","$5,644,736 ",2
dvd,2009,1-Feb,13,5,Tyler Perry's The Family That Preys,"98,334",-42%,"757,901","$1,965,697 ","$16,193,517 ",3
dvd,2009,1-Feb,14,new,RocknRolla,"93,683",,"93,683","$2,010,578 ","$2,010,578 ",1
dvd,2009,1-Feb,15,13,Mamma Mia!,"91,409",3%,"5,468,383","$1,705,025 ","$116,699,630 ",7
dvd,2009,1-Feb,16,15,WALL-E,"85,847",20%,"7,921,466","$1,336,106 ","$124,874,723 ",11
dvd,2009,1-Feb,17,6,My Best Friend's Girl,"79,066",-41%,"483,224","$1,587,060 ","$10,215,663 ",3
dvd,2009,1-Feb,18,12,Eagle Eye,"67,715",-28%,"1,780,058","$1,151,649 ","$31,113,470 ",6
dvd,2009,1-Feb,19,new,"Rocker, The","67,217",,"67,217","$1,478,102 ","$1,478,102 ",1
dvd,2009,1-Feb,20,8,Appaloosa,"66,663",-43%,"441,630","$1,332,593 ","$7,698,763 ",3
dvd,2009,1-Feb,21,14,Righteous Kill,"66,202",-18%,"778,760","$1,124,772 ","$13,128,693 ",4
dvd,2009,1-Feb,22,10,Mirrors,"54,471",-47%,"399,252","$925,462 ","$6,606,888 ",3
dvd,2009,1-Feb,23,17,Wanted,"53,929",-15%,"3,888,700","$833,608 ","$65,268,883 ",9
dvd,2009,1-Feb,24,19,Kung Fu Panda,"49,357",-18%,"7,878,045","$808,009 ","$121,222,929 ",13
dvd,2009,1-Feb,25,18,Step Brothers,"48,835",-21%,"3,048,976","$750,838 ","$53,440,314 ",9
dvd,2009,1-Feb,26,21,Babylon A.D.,"48,425",-17%,"559,366","$1,005,569 ","$11,619,971 ",4
dvd,2009,1-Feb,27,20,Horton Hears a Who!,"48,237",-17%,"3,760,148","$761,802 ","$63,580,201 ",8
dvd,2009,1-Feb,28,16,Bangkok Dangerous (2008),"47,797",-30%,"581,326","$965,705 ","$11,747,319 ",4
dvd,2009,1-Feb,29,-,Transformers,"47,395",105%,"14,861,008","$694,977 ","$277,438,435 ",68
dvd,2009,1-Feb,30,23,"Mummy: Tomb of the Dragon Emperor, The","45,236",-20%,"2,450,383","$705,487 ","$40,128,429 ",7
dvd,2009,8-Feb,1,new,Madagascar: Escape 2 Africa,"1,681,938",,"1,681,938","$27,096,021 ","$27,096,021 ",1
dvd,2009,8-Feb,2,new,Space Buddies,"938,858",,"938,858","$14,073,481 ","$14,073,481 ",1
dvd,2009,8-Feb,3,new,The Secret Life of Bees,"445,714",,"445,714","$7,764,338 ","$7,764,338 ",1
dvd,2009,8-Feb,4,new,Zack and Miri Make a Porno,"418,803",,"418,803","$7,115,463 ","$7,115,463 ",1
dvd,2009,8-Feb,5,2,Fireproof,"265,073",-52%,"814,436","$4,919,755 ","$13,929,308 ",2
dvd,2009,8-Feb,6,1,Open Season 2,"241,863",-56%,"795,544","$4,834,841 ","$15,902,925 ",2
dvd,2009,8-Feb,7,new,Nick and Norah's Infinite Playlist,"218,988",,"218,988","$3,720,606 ","$3,720,606 ",1
dvd,2009,8-Feb,8,-,Oliver & Company,"197,628",,"197,628","$4,938,724 ","$4,938,724 ",352
dvd,2009,8-Feb,9,3,Lakeview Terrace,"190,059",-62%,"691,971","$3,229,102 ","$11,535,746 ",2
dvd,2009,8-Feb,10,4,Max Payne,"119,249",-50%,"901,231","$2,008,559 ","$17,436,033 ",3
